,Hypothesis,Expert,Magnitude,Relevance.A,Relevance.B,Reducibility,expertnum,Relevanceboth,cvoi,Priority
105,12,Ex5,1,0,1,0,Ex5,0,0,1
106,13,Ex5,1,0,3,1,Ex5,0,0,1
107,14,Ex5,1,3,3,1,Ex5,2.25,2.25,2
108,15,Ex5,1,2,2,0,Ex5,1,1,2
109,16,Ex5,2,1,0,0,Ex5,0,0,1
110,17,Ex5,3,1,1,2,Ex5,0.25,0.75,3
111,1,Ex6,2,1,0,0,Ex6,0,0,1
112,2,Ex6,1,2,1,1,Ex6,0.5,0.5,1
113,3,Ex6,1,2,1,1,Ex6,0.5,0.5,1
114,4,Ex6,2,1,2,3,Ex6,0.5,1,4
115,5,Ex6,2,2,4,2,Ex6,2,4,4
116,6,Ex6,2,1,0,2,Ex6,0,0,3
117,7,Ex6,2,1,1,1,Ex6,0.25,0.5,1
118,8,Ex6,2,1,2,1,Ex6,0.5,1,2
119,9a,Ex6,2,1,2,1,Ex6,0.5,1,2
120,9b,Ex6,2,1,2,0,Ex6,0.5,1,2
121,9c,Ex6,3,1,0,1,Ex6,0,0,1
122,9d,Ex6,2,2,3,2,Ex6,1.5,3,4
123,9e,Ex6,2,2,2,2,Ex6,1,2,4
124,9f,Ex6,2,1,1,1,Ex6,0.25,0.5,1
125,10,Ex6,0,0,0,0,Ex6,0,0,1
126,11,Ex6,1,1,1,1,Ex6,0.25,0.25,1
127,12,Ex6,3,1,1,1,Ex6,0.25,0.75,1
128,13,Ex6,0,0,0,0,Ex6,0,0,1
129,14,Ex6,2,1,2,2,Ex6,0.5,1,4
130,15,Ex6,2,1,2,1,Ex6,0.5,1,2
131,16,Ex6,2,1,1,1,Ex6,0.25,0.5,1
132,17,Ex6,2,1,1,1,Ex6,0.25,0.5,1
133,1,Ex7,1,0,0,2,Ex7,0,0,3
134,2,Ex7,2,3,2,2,Ex7,1.5,3,4
135,3,Ex7,2,3,1,2,Ex7,0.75,1.5,4
136,4,Ex7,3,1,1,1,Ex7,0.25,0.75,1
137,5,Ex7,2,1,2,1,Ex7,0.5,1,2
138,6,Ex7,3,1,0,1,Ex7,0,0,1
139,7,Ex7,3,1,0,0,Ex7,0,0,1
140,8,Ex7,3,1,0,1,Ex7,0,0,1
141,9a,Ex7,3,1,0,1,Ex7,0,0,1
142,9b,Ex7,3,1,0,1,Ex7,0,0,1
143,9c,Ex7,3,1,0,0,Ex7,0,0,1
144,9d,Ex7,3,1,1,1,Ex7,0.25,0.75,1
145,9e,Ex7,3,2,1,1,Ex7,0.5,1.5,2
146,9f,Ex7,3,2,0,1,Ex7,0,0,1
147,10,Ex7,0,0,0,1,Ex7,0,0,1
148,11,Ex7,3,1,0,2,Ex7,0,0,3
149,12,Ex7,1,0,0,2,Ex7,0,0,3
150,13,Ex7,0,0,0,4,Ex7,0,0,3
151,14,Ex7,3,1,1,1,Ex7,0.25,0.75,1
152,15,Ex7,3,1,1,1,Ex7,0.25,0.75,1
153,16,Ex7,1,0,0,2,Ex7,0,0,3
154,17,Ex7,1,1,0,0,Ex7,0,0,1
155,1,Ex8,1,0,0,2,Ex8,0,0,3
156,2,Ex8,2,2,1,2,Ex8,0.5,1,4
157,3,Ex8,2,1,1,2,Ex8,0.25,0.5,3
158,4,Ex8,2,2,2,3,Ex8,1,2,4
159,5,Ex8,3,2,2,2,Ex8,1,3,4
160,6,Ex8,1,2,1,3,Ex8,0.5,0.5,3
161,7,Ex8,2,1,2,3,Ex8,0.5,1,4
162,8,Ex8,2,1,2,2,Ex8,0.5,1,4
163,9a,Ex8,3,1,1,2,Ex8,0.25,0.75,3
164,9b,Ex8,2,1,2,1,Ex8,0.5,1,2
165,9c,Ex8,3,2,1,1,Ex8,0.5,1.5,2
166,9d,Ex8,3,2,2,2,Ex8,1,3,4
167,9e,Ex8,2,3,1,2,Ex8,0.75,1.5,4
168,9f,Ex8,2,1,2,1,Ex8,0.5,1,2
169,10,Ex8,0,0,0,2,Ex8,0,0,3
170,11,Ex8,1,1,2,3,Ex8,0.5,0.5,3
171,12,Ex8,2,1,2,3,Ex8,0.5,1,4
172,13,Ex8,0,0,2,4,Ex8,0,0,3
173,14,Ex8,2,1,2,1,Ex8,0.5,1,2
174,15,Ex8,2,0,3,2,Ex8,0,0,3
175,16,Ex8,3,2,2,2,Ex8,1,3,4
176,17,Ex8,3,2,3,2,Ex8,1.5,4.5,4
177,1,Ex9,1,0,0,2,Ex9,0,0,3
178,2,Ex9,2,3,1,3,Ex9,0.75,1.5,4
179,3,Ex9,2,2,1,3,Ex9,0.5,1,4
180,4,Ex9,1,1,3,2,Ex9,0.75,0.75,3
181,5,Ex9,2,2,3,2,Ex9,1.5,3,4
182,6,Ex9,2,2,2,3,Ex9,1,2,4
183,7,Ex9,3,2,1,2,Ex9,0.5,1.5,4
184,8,Ex9,4,3,1,1,Ex9,0.75,3,2
185,9a,Ex9,3,2,1,2,Ex9,0.5,1.5,4
186,9b,Ex9,4,2,2,1,Ex9,1,4,2
187,9c,Ex9,3,2,0,1,Ex9,0,0,1
188,9d,Ex9,3,2,2,1,Ex9,1,3,2
189,9e,Ex9,4,3,1,1,Ex9,0.75,3,2
190,9f,Ex9,4,3,1,1,Ex9,0.75,3,2
